NumberofElements,SizeofHashTable,InsertionTime,SearchTime
100,20,1,0
100,20,1,0
100,20,0,0
100,20,1,0
100,20,1,0
100,20,1,0
100,20,0,0
100,20,1,0
100,20,1,0
100,20,0,0
200,20,1,0
200,20,1,1
200,20,1,0
200,20,2,0
200,20,3,0
200,20,2,0
200,20,2,0
200,20,1,1
200,20,2,0
200,20,2,0
300,20,2,0
300,20,4,1
300,20,3,0
300,20,3,0
300,20,2,0
300,20,2,0
300,20,3,0
300,20,2,0
300,20,3,0
300,20,4,0
400,20,3,1
400,20,4,0
400,20,3,0
400,20,3,0
400,20,3,0
400,20,2,0
400,20,2,0
400,20,3,0
400,20,3,0
400,20,3,0
500,20,3,0
500,20,3,1
500,20,3,0
500,20,3,1
500,20,3,0
500,20,3,0
500,20,4,1
500,20,4,0
500,20,3,1
500,20,2,0
600,20,3,0
600,20,4,0
600,20,4,1
600,20,3,1
600,20,7,0
600,20,4,1
600,20,3,1
600,20,3,0
600,20,4,0
600,20,4,0
700,20,4,1
700,20,5,0
700,20,4,0
700,20,4,0
700,20,7,1
700,20,4,1
700,20,4,1
700,20,5,1
700,20,4,0
700,20,4,0
800,20,7,0
800,20,5,1
800,20,6,0
800,20,6,1
800,20,4,0
800,20,5,0
800,20,6,0
800,20,6,1
800,20,7,1
800,20,4,0
900,20,7,1
900,20,5,0
900,20,10,1
900,20,6,1
900,20,6,1
900,20,6,1
900,20,6,1
900,20,5,1
900,20,5,1
900,20,8,1
1000,20,6,1
1000,20,8,1
1000,20,6,1
1000,20,8,1
1000,20,7,2
1000,20,7,1
1000,20,6,1
1000,20,7,1
1000,20,6,2
1000,20,10,1
